0 M,,1 M,,2 M,,3 M,,1,5 M,,1,25 M,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
428.9299927,25.75732231,428.9299927,42.67161179,428.9299927,93.26392365,428.9299927,107.0693207,428.9299927,71.69745636,428.9299927,50.81300735,
430,24.75301933,430,41.55448914,430,88.93682861,430,104.6372681,430,69.67504883,430,49.22247314,
431.0700073,24.20989227,431.0700073,40.39103317,431.0700073,84.72853088,431.0700073,99.86590576,431.0700073,66.66242218,431.0700073,47.74260712,
432,22.4493885,432,38.01387405,432,83.93328857,432,94.78469086,432,65.085495,432,46.39999771,
433.0700073,22.10571861,433.0700073,37.87163544,433.0700073,78.42521667,433.0700073,93.55365753,433.0700073,62.56151962,433.0700073,45.28057098,
434,22.69945526,434,36.19327545,434,77.84798431,434,91.25008392,434,61.59462738,434,42.63465118,
435.0700073,21.28104401,435.0700073,36.23307419,435.0700073,76.01623535,435.0700073,87.34581757,435.0700073,56.3627243,435.0700073,41.26945877,
436,20.54454041,436,33.8290863,436,72.45918274,436,85.6280365,436,56.22463226,436,38.65742493,
437.0700073,19.94301987,437.0700073,32.79724503,437.0700073,73.44632721,437.0700073,79.31993103,437.0700073,54.18191147,437.0700073,39.48553085,
438,19.50959396,438,31.7926445,438,67.778862,438,82.14198303,438,52.18245316,438,36.3274765,
439.0700073,17.90998268,439.0700073,30.64833069,439.0700073,65.46711731,439.0700073,78.44042206,439.0700073,50.19612503,439.0700073,34.95392609,
440,18.2231102,440,30.20869446,440,64.61317444,440,74.57835388,440,47.85958099,440,33.94775009,
441.0599976,16.98279762,441.0599976,28.1716423,441.0599976,59.47556686,441.0599976,70.86278534,441.0599976,47.96547318,441.0599976,33.8015213,
441.9599915,17.32974052,441.9599915,28.4310894,441.9599915,59.09090805,441.9599915,68.80973053,441.9599915,45.41620636,441.9599915,32.73866653,
443.0299988,16.69338417,443.0299988,28.69678688,443.0299988,56.37813187,443.0299988,67.93816376,443.0299988,43.54648972,443.0299988,32.78263474,
